title,document_no,document_no_empty_reason,issuer,authority_level,category,scope,regions,tags,source_url,published_at,effective_at,expired_at,effective_note,last_verified_at,review_cycle_days,replacement_regulation_id,summary,content,change_note
10051未取得驾驶证驾驶营运客车的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|无证驾驶|营运客车|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10051的行政处罚裁量基准，违法描述为“无证驾驶”，适用于“未取得驾驶证驾驶营运客车的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：未取得驾驶证驾驶营运客车的
违法规定：《中华人民共和国道路交通安全法 》第十九条第 一款申请机动车驾驶证 ，应当符合国务院公安部 门规定的驾驶许可条件 ；经考试合格后 ， 由公安 机关交通管理部门发给相应类别的机动车驾驶证 。
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款有下列行为之一的 ， 由公安机关交通管理部 门处二百元以上二千元以下罚款 ： （一）未取得机动车驾驶证 、机动车驾驶证被吊销或者机 动车驾驶证被暂扣期间驾驶机动车的 ； 行为人有前款第二项 、第四项情形之一的 ，可以并处 吊销机动车驾驶证 ；有第一项 、第三项 、第五项至第八项 情形之一的 ，可以并处十五日以下拘留 。《新疆维吾尔自 治区实施〈中华人民共和国道路交通安全法 〉办法》第八 十五条第一项未取得机动车驾驶证 、机动车驾驶证被吊销 或者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机 动车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾 驶的 ，按照以下规定处罚： （一）驾驶营运客车的 ，处2000元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：2000
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：10
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10051号违法行为行结构化导入，待另一管理员复核后发布。
10052未取得驾驶证驾驶非营运客车的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|无证驾驶|非营运客车|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10052的行政处罚裁量基准，违法描述为“无证驾驶”，适用于“未取得驾驶证驾驶非营运客车的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：未取得驾驶证驾驶非营运客车的
违法规定：《中华人民共和国道路交通安全法 》第十九条第 一款申请机动车驾驶（具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款（具体法条条款同上 ）。《新疆维吾尔自治 区实施〈中华人民共和国道路交通安全法 〉办法》第八十 五条第二项未取得机动车驾驶证 、机动车驾驶证被吊销或 者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机动 车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾驶 的 ，按照以下规定处罚： （二）驾驶非营运客车的 ，处1500元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：1500
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：5
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10052号违法行为行结构化导入，待另一管理员复核后发布。
10053未取得驾驶证驾驶载货汽车的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|无证驾驶|载货汽车|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10053的行政处罚裁量基准，违法描述为“无证驾驶”，适用于“未取得驾驶证驾驶载货汽车的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：未取得驾驶证驾驶载货汽车的
违法规定：《中华人民共和国道路交通安全法 》第十九条 （具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款（具体法条条款同上 ）。《新疆维吾尔自治 区实施〈中华人民共和国道路交通安全法 〉办法》第八十 五条第三项未取得机动车驾驶证 、机动车驾驶证被吊销或 者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机动 车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾驶 的 ，按照以下规定处罚： （三）驾驶载货汽车的 ，处1000元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：1000
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：7
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10053号违法行为行结构化导入，待另一管理员复核后发布。
10054未取得驾驶证驾驶拖拉机 、摩托 车等其他机动车的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|无证驾驶|摩托车|拖拉机|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10054的行政处罚裁量基准，违法描述为“无证驾驶”，适用于“未取得驾驶证驾驶拖拉机 、摩托 车等其他机动车的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：未取得驾驶证驾驶拖拉机 、摩托 车等其他机动车的
违法规定：《中华人民共和国道路交通安全法 》第十九条 （具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款（具体法条条款同上 ）。《新疆维吾尔自治 区实施〈中华人民共和国道路交通安全法 〉办法》第八十 五条第四项未取得机动车驾驶证 、机动车驾驶证被吊销或 者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机动 车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾驶 的 ，按照以下规定处罚： （四）驾驶拖拉机 、摩托车等其他机动车的 ，处200 元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：200
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：3
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10054号违法行为行结构化导入，待另一管理员复核后发布。
10061驾驶证被吊销期间驾驶营运客车 的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|吊销期驾驶|营运客车|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10061的行政处罚裁量基准，违法描述为“驾驶证吊销 后驾车”，适用于“驾驶证被吊销期间驾驶营运客车 的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：驾驶证被吊销期间驾驶营运客车 的
违法规定：《中华人民共和国道路交通安全法 》第十九条第 一款申请机动车驾驶证 ，应当符合国务院公安部 门规定的驾驶许可条件 ；经考试合格后 ， 由公安 机关交通管理部门发给相应类别的机动车驾驶证 。
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款有下列行为之一的 ， 由公安机关交通管理部 门处二百元以上二千元以下罚款 ： （一）未取得机动车驾驶证 、机动车驾驶证被吊销或者机 动车驾驶证被暂扣期间驾驶机动车的 ； 行为人有前款第二项 、第四项情形之一的 ，可以并处 吊销机动车驾驶证 ；有第一项 、第三项 、第五项至第八项 情形之一的 ，可以并处十五日以下拘留 。 《新疆维吾尔自治区实施 〈中华人民共和国道路交通安全 法〉办法》第八十五条第一项未取得机动车驾驶证 、机动 车驾驶证被吊销或者被暂扣期间驾驶机动车 ，或者将机动 车交由未取得机动车驾驶证 、机动车驾驶证被吊销或者被 暂扣期间的人驾驶的 ，按照以下规定处罚： （一）驾驶营运客车的 ，处2000元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：2000
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：10
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10061号违法行为行结构化导入，待另一管理员复核后发布。
10062驾驶证被吊销期间驾驶非营运客车的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|吊销期驾驶|非营运客车|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10062的行政处罚裁量基准，违法描述为“驾驶证吊销 后驾车”，适用于“驾驶证被吊销期间驾驶非营运客车的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：驾驶证被吊销期间驾驶非营运客车的
违法规定：《中华人民共和国道路交通安全法 》第十九条第 一款（具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款（具体法条条款同上 ）。《新疆维吾尔自治 区实施〈中华人民共和国道路交通安全法 〉办法》第八十 五条第二项未取得机动车驾驶证 、机动车驾驶证被吊销或 者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机动 车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾驶 的 ，按照以下规定处罚： （二）驾驶非营运客车的 ，处1500元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：1500
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：5
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10062号违法行为行结构化导入，待另一管理员复核后发布。
10063驾驶证被吊销期间驾驶载货汽车 的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|吊销期驾驶|载货汽车|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10063的行政处罚裁量基准，违法描述为“驾驶证吊销 后驾车”，适用于“驾驶证被吊销期间驾驶载货汽车 的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：驾驶证被吊销期间驾驶载货汽车 的
违法规定：《中华人民共和国道路交通安全法 》第十九条 （具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款（具体法条条款同上 ）。《新疆维吾尔自治 区实施〈中华人民共和国道路交通安全法 〉办法》第八十 五条第三项未取得机动车驾驶证 、机动车驾驶证被吊销或 者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机动 车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾驶 的 ，按照以下规定处罚： （三）驾驶载货汽车的 ，处1000元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：1000
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：7
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10063号违法行为行结构化导入，待另一管理员复核后发布。
10064驾驶证被吊销期间驾驶拖拉机 、 摩托车等其他机动车的,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|吊销期驾驶|摩托车|拖拉机|罚款|行政拘留,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10064的行政处罚裁量基准，违法描述为“驾驶证吊销 后驾车”，适用于“驾驶证被吊销期间驾驶拖拉机 、 摩托车等其他机动车的”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：驾驶证被吊销期间驾驶拖拉机 、 摩托车等其他机动车的
违法规定：《中华人民共和国道路交通安全法 》第十九条 （具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十九条第一款第 一项 、第二款（具体法条条款同上 ）。《新疆维吾尔自治 区实施〈中华人民共和国道路交通安全法 〉办法》第八十 五条第四项未取得机动车驾驶证 、机动车驾驶证被吊销或 者被暂扣期间驾驶机动车 ，或者将机动车交由未取得机动 车驾驶证 、机动车驾驶证被吊销或者被暂扣期间的人驾驶 的 ，按照以下规定处罚： （四）驾驶拖拉机 、摩托车等其他机动车的 ，处200 元罚款。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：200
暂扣：
吊销：
拘留最小：0
拘留最大：15
拘留默认值（指导基准）：3
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10064号违法行为行结构化导入，待另一管理员复核后发布。
10111摩托车非法安装警报器,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|非法安装警报器|摩托车|罚款,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10111的行政处罚裁量基准，违法描述为“非法安装警报器”，适用于“摩托车非法安装警报器”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：摩托车非法安装警报器
违法规定：《中华人民共和国道路交通安全法 》第十五条第 一款警车 、消防车 、救护车 、工程救险车应当按 照规定喷涂标志图案 ，安装警报器 、标志灯具。 其他机动车不得喷涂 、安装 、使用上述车辆专用 的或者与其相类似的标志图案 、警报器或者标志 灯具
法律条文：《中华人民共和国道路交通安全法 》第九十七条非法安装 警报器 、标志灯具的 ， 由公安机关交通管理部门强制拆 除 ，予以收缴 ，并处二百元以上二千元以下罚款 。
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：200
暂扣：
吊销：
拘留最小：0
拘留最大：0
拘留默认值（指导基准）：0
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10111号违法行为行结构化导入，待另一管理员复核后发布。
10112小、微型机动车非法安装警报器,新公规〔2025〕1号,,新疆维吾尔自治区公安厅,local,traffic,REGIONAL,650000:新疆维吾尔自治区,交通违法裁量基准|非法安装警报器|罚款,https://gat.xinjiang.gov.cn/gat/gawj/202503/3936ce139b084a9082a72c5bb554942d.shtml,2025-03-11,2025-04-15,,自2025年4月15日起施行，有效期五年；发生交通事故、吊销或拘留以及警告适用条件以文件统一说明和具体执法事实为准。,2026-08-08,30,,新疆道路交通违法行为代码10112的行政处罚裁量基准，违法描述为“非法安装警报器”，适用于“小、微型机动车非法安装警报器”。本条仅提供官方信息索引，不生成个案处罚结论。,"违法内容：小、微型机动车非法安装警报器
违法规定：《中华人民共和国道路交通安全法 》第十五条第 一款（具体法条条款同上 ）
法律条文：《中华人民共和国道路交通安全法 》第九十七条（具体法条条款同上 ）
违法记分数：0
罚款最小值：200
罚款最大值：2000
罚款默认值（指导基准）：500
暂扣：
吊销：
拘留最小：0
拘留最大：0
拘留默认值（指导基准）：0
警告标记：不可 警告",由《自治区道路交通违法行为行政处罚裁量权基准》10112号违法行为行结构化导入，待另一管理员复核后发布。
